name,price,location,Тип предложения,Период аренды,Серия,Дом,Этаж,Площадь,Отопление,Состояние,Интернет,Санузел,Газ,Балкон,Входная дверь,Парковка,Мебель,Пол,Высота потолков,Правоустанавливающие документы,Телефон,Безопасность,Разное,"
                                    Дом                            ",Площадь участка,Возможность ипотеки,Кол-во этажей,Канализация,Питьевая вода,Электричество,Коммуникации,"
                                    Тип строения                            ",Поливная вода,Местоположение
"4-комн. кв., 110 м2",$ 700/мес.,"с. Кок-Джар, Алма-Атинская 7/Южная магистраль",от собственника,на долгий срок,элитка,"панельный, 2019 г.",2 этаж из 9,"110 м2, жилая: 110 м2, кухня: 20 м2",на газе,евроремонт,проводной,раздельный,автономный,лоджия,бронированная,паркинг,полностью меблирована,паркет,2.8 м.,договор купли-продажи,,,,,,,,,,,,,,
"1-комн. кв., 45 м2",$ 400/мес.,"Бишкек, ЖД вокзал, Орозбекова 2/3",от собственника,помесячно,элитка,монолитный,9 этаж из 10,45 м2,центральное,хорошее,adsl,совмещенный,магистральный,застекленный балкон,бронированная,паркинг,полностью меблирована,линолеум,3 м.,,возможно подключение,"домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение","пластиковые окна,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",,,,,,,,,,,
"Коммерческая недвижимость, 100 м2",$ 100/сутки,"с. Кош-Коль, с. Кошкол",от собственника,посуточно,,,,100 м2,электрическое,евроремонт,,,,,,,,,3 м.,,,,,"кирпичный, 2018 г.",2 соток,,,,,,,,,
"3-комн. кв., 116 м2",$ 1 000/мес.,"Бишкек, Джальская больница, Ахунбаева - Тыналиева",от собственника,на долгий срок,пентхаус,"кирпичный, 2015 г.",11 этаж из 12,116 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 68 м2",$ 32/сутки,"Каракол, Восход",от собственника,посуточно,105 серия улучшенная,"панельный, 1987 г.",5 этаж из 5,"68 м2, жилая: 42 м2, кухня: 8 м2",электрическое,евроремонт,оптика,раздельный,,застекленный балкон,бронированная,паркинг,полностью меблирована,ламинат,3 м.,,,кодовый замок,,,,,,,,,,,,
"2-комн. кв., 68 м2",$ 23/сутки,"Каракол, Восход",от собственника,посуточно,105 серия улучшенная,"панельный, 1987 г.",3 этаж из 5,"68 м2, жилая: 42 м2, кухня: 10 м2",,евроремонт,оптика,раздельный,,застекленный балкон,деревянная,,полностью меблирована,ковролин,2.7 м.,,,кодовый замок,,,,,,,,,,,,
"3-комн. кв., 100 м2",$ 900/мес.,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",от агента,на долгий срок,элитка,монолитный,9 этаж из 12,100 м2,центральное,евроремонт,,совмещенный,магистральный,,,,полностью меблирована,,3 м.,технический паспорт,,,,,,,,,,,,,,
"2-комн. кв., 72 м2",$ 40/час,"Бишкек, Азия Молл",от собственника,по часам,элитка,кирпичный,4 этаж из 12,72 м2,,евроремонт,проводной,раздельный,,,,паркинг,полностью меблирована,,,,,,,,,,,,,,,,,
"2-комн. кв., 55 м2",$ 40/сутки,"Бишкек, КНУ",от собственника,посуточно,элитка,панельный,3 этаж из 12,55 м2,,евроремонт,,совмещенный,,,бронированная,,полностью меблирована,,,,,,,,,,,,,,,,,
"2-комн. кв., 72 м2",$ 40/сутки,"Бишкек, Азия Молл",от собственника,посуточно,элитка,кирпичный,4 этаж из 12,72 м2,,евроремонт,,раздельный,,,,,,,,,,,,,,,,,,,,,,
"2-комн. кв., 55 м2",$ 35/час,"Бишкек, КНУ, Жибек Жолу/Шевченко",от собственника,по часам,элитка,"монолитный, 2018 г.",6 этаж из 9,55 м2,центральное,,,,,,,,,,3 м.,,,,,,,,,,,,,,,
"1-комн. кв., 47 м2",$ 35/сутки,"Бишкек, Московская - Уметалиева",от собственника,посуточно,элитка,кирпичный,6 этаж из 12,47 м2,,евроремонт,проводной,совмещенный,автономный,застекленный балкон,,,,,,,,,,,,,,,,,,,,
"1-комн. кв., 55 м2",$ 29/сутки,"Бишкек, КНУ",от собственника,посуточно,элитка,кирпичный,5 этаж из 12,55 м2,,евроремонт,,совмещенный,,,,,,,,,,,,,,,,,,,,,,
"1-комн. кв., 48 м2",$ 454,"Бишкек, Магистраль, Токомбаева, 27",от агента,,индивид. планировка,"кирпичный, 2012 г.",2 этаж из 9,"48 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 65 м2",$ 500,"Бишкек, Восток-5 м-н, Мамбетова, 24",от агента,,105 серия,"панельный, 1982 г.",1 этаж из 5,"65 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 70 м2",$ 550,"Бишкек, Золотой квадрат, Панфилова, 153",от агента,,индивид. планировка,"кирпичный, 2011 г.",2 этаж из 9,"70 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"4-комн. кв., 200 м2",$ 1 100,"Бишкек, ЖД вокзал, Панфилова, 145",от агента,,индивид. планировка,"кирпичный, 2020 г.",8 этаж из 15,"200 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 80 м2",$ 575,"Бишкек, КНУ, Фрунзе, 551",от агента,,индивид. планировка,"кирпичный, 2017 г.",4 этаж из 10,"80 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 70 м2",$ 500,"Бишкек, АЮ Grand, Исакеева, 18",от агента,,индивид. планировка,"кирпичный, 2022 г.",2 этаж из 7,"70 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 160 м2",$ 850,"Бишкек, Вечерка, Шопокова, 31",от агента,,индивид. планировка,"кирпичный, 2007 г.",3 этаж из 9,"160 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"5-комн. кв., 250 м2",$ 2 500,"Бишкек, Золотой квадрат, Эркиндик бульвар, 9",от агента,,индивид. планировка,"монолитный, 2011 г.",9 этаж из 10,"250 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 100 м2",$ 1 000,"Бишкек, Госрегистр, Чынгыза Айтматова пр-т, 4",от агента,,индивид. планировка,"монолитный, 2020 г.",8 этаж из 12,"100 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"2-комн. кв., 76 м2",$ 700,"Бишкек, КНУ, Шевченко, 125",от агента,,индивид. планировка,"кирпичный, 2017 г.",10 этаж из 10,"76 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
"3-комн. кв., 64 м2",$ 681,"Бишкек, 7 м-н, 7-й микрорайон, 18",от агента,,104 серия,"панельный, 1970 г.",1 этаж из 4,"64 м2, жилая",,,,,,,,,,,,,,,,,,нет,,,,,,,,
